"";"ID";"anio";"dpto";"region";"w_ano";"e26";"e27";"e29_6";"e49";"e51_2";"e51_3";"e51_4_a";"e51_4_b";"e51_5";"e51_6a";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_6";"e51_8";"e218_1";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"8553";22658;2022;12;2;32;1;61;3;1;6;0;3;0;3;2;1;0;1;0;0;0;0;0;3;0;0;4;1;2;2;1;9;2;80000;5000;5000;17;38;11,289781913656;80000;8,51719319141624;5000;1444
"8554";22659;2022;12;2;42;2;53;3;1;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;36;2;1;2;1;2;2;49809,85;36809,85;36809,85;8;39;10,8159680346193;49810;10,5135207513851;36810;1521
"8555";22660;2022;12;2;32;1;58;3;1;6;0;3;0;3;3;1;0;1;0;0;0;0;0;0;0;0;50;2;2;2;1;1;2;57809,85;57809,85;57809,85;15;37;10,9649144553664;57810;10,9649144553664;57810;1369
"8556";22660;2022;12;2;32;2;57;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;4;0;0;30;2;2;2;1;2;2;42809,85;42809,85;42809,85;16;35;10,6645234952786;42810;10,6645234952786;42810;1225
"8557";22662;2022;12;2;21;2;52;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;3;0;0;39;2;1;2;1;1;2;40309,85;33809,85;36809,85;15;31;10,6043511349433;40310;10,5135207513851;36810;961
"8558";22663;2022;12;2;21;2;56;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;0;0;0;60;2;1;2;1;9;2;92809,85;52809,85;52809,85;17;33;11,438308055383;92810;10,8744530053258;52810;1089
"8559";22664;2022;12;2;51;1;40;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;45;2;2;2;1;1;2;95819,65;95819,65;95819,65;7;27;11,4702230577483;95820;11,4702230577483;95820;729
"8560";22665;2022;12;2;45;1;51;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;22809,85;22809,85;22809,85;2;43;10,0349477391937;22810;10,0349477391937;22810;1849
"8561";22666;2022;12;2;21;2;55;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;1;2;1;9;2;18200;5000;5000;6;43;9,80917687306489;18200;8,51719319141624;5000;1849
"8562";22667;2022;12;2;38;1;61;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;2;2;1;9;2;22000;22000;22000;3;52;9,99879773234045;22000;9,99879773234045;22000;2704
"8563";22668;2022;12;2;48;1;25;3;1;6;0;3;0;0;0;1;0;0;2;1;0;0;0;0;0;0;48;2;2;2;1;2;2;37500,2;37500,2;37500,2;9;10;10,5321015452776;37500;10,5321015452776;37500;100
"8564";22668;2022;12;2;48;2;25;3;1;6;0;3;0;3;0;1;0;1;0;0;3;0;0;0;0;0;5;2;2;2;1;9;2;3500;1500;1500;15;4;8,1605182474775;3500;7,3132203870903;1500;16
"8565";22669;2022;12;2;50;1;32;3;1;6;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;48;2;2;2;1;9;2;20000;20000;20000;10;16;9,90348755253613;20000;9,90348755253613;20000;256
"8566";22670;2022;12;2;50;1;53;3;1;6;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;48;2;2;2;1;4;2;28000;28000;28000;9;38;10,2399597891573;28000;10,2399597891573;28000;1444
"8567";22670;2022;12;2;50;1;21;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;2;2;2;1;1;2;8000;8000;8000;7;8;8,98719682066197;8000;8,98719682066197;8000;64
"8568";22672;2022;12;2;37;2;54;3;1;6;0;3;0;2;0;1;0;2;0;0;0;0;0;0;0;0;30;2;2;2;1;9;2;10000;10000;10000;11;37;9,21034037197618;10000;9,21034037197618;10000;1369
"8569";22673;2022;12;2;53;1;47;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;48;2;2;2;2;9;2;25000;25000;25000;9;32;10,1266311038503;25000;10,1266311038503;25000;1024
"8570";22673;2022;12;2;53;2;42;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;2;2;1;1;2;14809,85;14809,85;14809,85;6;30;9,60304777891886;14810;9,60304777891886;14810;900
"8571";22673;2022;12;2;53;2;25;3;1;6;0;0;3;0;0;0;1;0;1;3;0;0;0;0;0;0;44;2;2;2;1;1;2;24809,85;24809,85;24809,85;9;10;10,1189960307184;24810;10,1189960307184;24810;100
"8572";22673;2022;12;2;53;1;24;1;1;6;0;0;3;0;0;0;1;0;2;1;0;0;0;0;0;0;36;2;2;2;1;9;2;18000;18000;18000;9;9;9,7981270368783;18000;9,7981270368783;18000;81
"8573";22674;2022;12;2;57;1;43;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;2;1;9;2;23882,64;20000;20000;2;35;10,0809071141599;23883;9,90348755253613;20000;1225
"8574";22680;2022;12;2;35;2;62;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;25;2;2;2;2;1;2;12809,85;12809,85;12809,85;9;47;9,45796968522035;12810;9,45796968522035;12810;2209
"8575";22681;2022;12;2;43;2;52;3;1;6;0;3;0;0;0;1;0;0;1;3;0;0;0;0;0;0;24;2;2;2;1;1;2;27409,85;13609,85;13609,85;9;37;10,2186577168265;27410;9,51854907427692;13610;1369
"8576";22682;2022;12;2;56;2;33;3;1;6;0;3;0;0;0;1;0;0;1;3;0;2;4;2;0;0;35;2;2;2;1;2;2;96059,85;94309,85;94309,85;15;12;11,4727267136935;96060;11,4543409170372;94310;144
"8577";22682;2022;12;2;56;1;33;3;1;6;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;49;2;2;2;2;1;2;62809,85;62809,85;62809,85;10;17;11,0478671872908;62810;11,0478671872908;62810;289
"8578";22683;2022;12;2;63;1;39;3;1;6;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;42;2;2;2;1;9;2;20809,85;20809,85;20809,85;7;26;9,94318171128866;20810;9,94318171128866;20810;676
"8579";22685;2022;12;2;40;1;51;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;2;2;2;4;2;33009,85;33009,85;33009,85;6;39;10,4045612807594;33010;10,4045612807594;33010;1521
"8580";22685;2022;12;2;40;2;51;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;56;2;2;2;1;7;2;2809,85;0;2809,85;12;33;7,94088638012007;2810;7,94088638012007;2810;1089
"8581";22687;2022;12;2;37;2;49;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;6;2;2;2;1;1;2;13375;4800;4800;12;31;9,50114257176421;13375;8,47637119689598;4800;961
"8582";22688;2022;12;2;51;1;51;3;1;6;0;3;0;1;0;1;0;2;2;2;0;0;0;0;0;0;70;2;2;2;2;1;2;32809,85;32809,85;32809,85;10;35;10,3984840541678;32810;10,3984840541678;32810;1225
