"";"ID";"anio";"dpto";"nom_dpto";"barrio";"REGION_4";"e26";"e27";"e29_6";"e49";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e215_1";"e218_1";"e221_1";"e224_1";"e51_9";"e51_10";"e51_11";"f85";"f98";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"YDA";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"81";57701;2024;1;"Montevideo";11;1;2;54;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;2;0;0;30;0;1;2;1;1;9;2;142500;22500;22500;207666,666666667;14;34;11,8670972786908;142500;10,0212705881925;22500;1156
"82";57702;2024;1;"Montevideo";11;1;1;52;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;44;0;2;2;1;2;1;2;121694,6;121694,6;121694,6;179054,906666667;10;36;11,7092699065861;121695;11,7092699065861;121695;1296
"83";57703;2024;1;"Montevideo";11;1;2;43;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;20;0;2;2;1;1;9;2;35600;30000;30000;114437,57;9;28;10,4801009168401;35600;10,3089526606443;30000;784
"84";57704;2024;1;"Montevideo";11;1;2;23;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;4;0;0;45;0;2;2;2;2;1;2;83206,36;83206,36;83206,36;493000;16;1;11,3290790661954;83206;11,3290790661954;83206;1
"85";57706;2024;1;"Montevideo";11;1;1;59;0;1;1;6;0;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;30;0;2;2;2;1;2;2;154804,026666667;153137,36;153137,36;243597,666666667;10;43;11,949915251858;154804;11,9390905753909;153137;1849
"86";57706;2024;1;"Montevideo";11;1;2;57;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;44;0;2;2;2;2;1;2;49206,36;49206,36;49206,36;243597,666666667;10;41;10,8037781624187;49206;10,8037781624187;49206;1681
"87";57709;2024;1;"Montevideo";11;1;1;42;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;5;0;2;40;0;2;2;2;2;9;2;337956,36;337539,693333333;337539,693333333;423750;19;17;12,7306720537034;337956;12,7294383922558;337540;289
"88";57709;2024;1;"Montevideo";11;1;2;46;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;2;4;0;1;30;0;2;2;2;1;9;2;40000;40000;40000;423750;17;23;10,5966347330961;40000;10,5966347330961;40000;529
"89";57710;2024;1;"Montevideo";11;1;1;51;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;1;0;2;3;0;40;0;2;2;1;1;4;2;410000;380000;380000;682194,12;17;28;12,9239124386805;410000;12,8479265317026;380000;784
"90";57710;2024;1;"Montevideo";11;1;2;44;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;2;0;4;1;0;30;15;2;2;2;2;2;2;162106,36;110106,36;162106,36;682194,12;17;21;11,9960079419942;162106;11,9960079419942;162106;441
"91";57711;2024;1;"Montevideo";14;1;2;25;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;4;0;0;40;0;2;2;2;2;1;2;149206,36;149206,36;149206,36;722239;16;3;11,9130855931891;149206;11,9130855931891;149206;9
"92";57711;2024;1;"Montevideo";14;1;1;57;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;6;0;2;50;0;2;2;2;2;1;2;386689;386689;386689;722239;20;31;12,8653760313672;386689;12,8653760313672;386689;961
"93";57714;2024;1;"Montevideo";14;1;2;34;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;9;2;18000;18000;18000;48000;6;22;9,7981270368783;18000;9,7981270368783;18000;484
"94";57715;2024;1;"Montevideo";14;1;1;59;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;1;0;0;3;0;45;0;2;2;2;2;9;2;321848,026666667;321848,026666667;321848,026666667;477641,666666667;15;38;12,6818347462414;321848;12,6818347462414;321848;1444
"95";57716;2024;1;"Montevideo";14;1;2;49;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;1;0;0;3;0;35;0;2;2;1;1;1;2;133206,36;133206,36;133206,36;641764,666666667;15;28;11,7996547836963;133206;11,7996547836963;133206;784
"96";57716;2024;1;"Montevideo";14;1;1;48;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;4;0;1;40;0;2;2;1;2;1;2;328373,026666667;324206,36;324206,36;641764,666666667;17;25;12,7019055175801;328373;12,6891355056113;324206;625
"97";57718;2024;1;"Montevideo";14;1;1;64;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;4;0;1;24;0;1;2;1;2;4;2;482291,666666667;358791,666666667;358791,666666667;680322,5;17;41;13,0863043275886;482292;12,7904971833304;358792;1681
"98";57719;2024;1;"Montevideo";9;1;2;56;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;4;0;3;32;0;2;2;2;1;2;2;156706,36;154206,36;154206,36;219500;19;31;11,9621290146296;156706;11,946046984397;154206;961
"99";57719;2024;1;"Montevideo";9;1;1;63;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;34;0;2;2;2;1;1;2;39206,36;14206,36;14206,36;219500;12;45;10,5765942575162;39206;9,56144503064171;14206;2025
"100";57720;2024;1;"Montevideo";9;1;1;61;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;3;0;0;40;0;2;2;2;2;2;2;133039,693333333;132206,36;132206,36;344833,333333333;15;40;11,798402808793;133040;11,7921193141684;132206;1600
